strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
ICT_S6_DAILY_CRT,2025-01-24 00:00:00+00:00,BUY,2754.82,2735.96,2763.59,2763.29,2025-01-26 00:00:00+00:00,TP,8.47,ICT_S6_DAILY_CRT
ICT_S6_DAILY_CRT,2025-02-02 00:00:00+00:00,SELL,2801.42,2817.22,2762.34,2817.52,2025-02-03 00:00:00+00:00,SL,-16.1,ICT_S6_DAILY_CRT
ICT_S6_DAILY_CRT,2025-02-07 00:00:00+00:00,BUY,2858.76,2834.27,2882.92,2882.62,2025-02-10 00:00:00+00:00,TP,23.86,ICT_S6_DAILY_CRT
ICT_S6_DAILY_CRT,2025-02-12 00:00:00+00:00,SELL,2898.53,2942.78,2865.72,2943.08,2025-02-19 00:00:00+00:00,SL,-44.55,ICT_S6_DAILY_CRT
ICT_S6_DAILY_CRT,2025-02-20 00:00:00+00:00,SELL,2935.7,2947.08,2892.2,2947.38,2025-02-21 00:00:00+00:00,SL,-11.68,ICT_S6_DAILY_CRT
ICT_S6_DAILY_CRT,2025-02-23 00:00:00+00:00,BUY,2940.12,2916.82,2959.03,2916.52,2025-02-25 00:00:00+00:00,SL,-23.6,ICT_S6_DAILY_CRT
ICT_S6_DAILY_CRT,2025-03-06 00:00:00+00:00,SELL,2917.7,2929.98,2881.36,2930.28,2025-03-07 00:00:00+00:00,SL,-12.58,ICT_S6_DAILY_CRT
ICT_S6_DAILY_CRT,2025-03-09 00:00:00+00:00,SELL,2912.15,2930.54,2892.59,2892.89,2025-03-10 00:00:00+00:00,TP,19.26,ICT_S6_DAILY_CRT
ICT_S6_DAILY_CRT,2025-03-16 00:00:00+00:00,SELL,2987.31,3005.04,2935.38,3005.34,2025-03-18 00:00:00+00:00,SL,-18.03,ICT_S6_DAILY_CRT
ICT_S6_DAILY_CRT,2025-03-21 00:00:00+00:00,SELL,3046.84,3057.59,3023.23,3023.53,2025-03-23 00:00:00+00:00,TP,23.3,ICT_S6_DAILY_CRT
ICT_S6_DAILY_CRT,2025-03-26 00:00:00+00:00,SELL,3020.7,3036.07,3002.11,3036.37,2025-03-27 00:00:00+00:00,SL,-15.67,ICT_S6_DAILY_CRT
ICT_S6_DAILY_CRT,2025-04-08 00:00:00+00:00,SELL,2982.43,3057.3,2978.38,3057.6,2025-04-09 00:00:00+00:00,SL,-75.17,ICT_S6_DAILY_CRT
ICT_S6_DAILY_CRT,2025-04-24 00:00:00+00:00,BUY,3316.07,3260.19,3499.8,3259.89,2025-05-01 00:00:00+00:00,SL,-56.18,ICT_S6_DAILY_CRT
